window_id,config_id,repetition,query,policy_id,policy_name,decision,rf_predicted_qir,q95_predicted_qir,actual_concurrent_qir,observed_effective_qir,maintenance_executed,maintenance_delay_sec,maintenance_starved,sla_violation
15,frag50_multi_stream_FIFO,2,Q14,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,4.421706485691837,17.140103650266337,-4.113787712643832,-4.113787712643832,1,0.0,0,0
15,frag50_multi_stream_FIFO,2,Q14,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,4.421706485691837,17.140103650266337,-4.113787712643832,0.0,0,1.9031293392181396,1,0
16,frag50_multi_stream_FIFO,2,Q18,policy_1_always_run,Always Run (Baseline),RUN,4.421706485691837,13.276875836616332,3.5745634256235843,3.5745634256235843,1,0.0,0,0
16,frag50_multi_stream_FIFO,2,Q18,policy_2_always_defer,Always Defer,DEFER,4.421706485691837,13.276875836616332,3.5745634256235843,0.0,0,3.953456163406372,1,0
16,frag50_multi_stream_FIFO,2,Q18,policy_3_heuristic,Simple Resource Heuristic,RUN,4.421706485691837,13.276875836616332,3.5745634256235843,3.5745634256235843,1,0.0,0,0
16,frag50_multi_stream_FIFO,2,Q18,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,4.421706485691837,13.276875836616332,3.5745634256235843,3.5745634256235843,1,0.0,0,0
16,frag50_multi_stream_FIFO,2,Q18,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,4.421706485691837,13.276875836616332,3.5745634256235843,0.0,0,3.953456163406372,1,0
17,frag50_multi_stream_FIFO,3,Q1,policy_1_always_run,Always Run (Baseline),RUN,12.26668548525991,21.653183125595103,6.268882572644338,6.268882572644338,1,0.0,0,0
17,frag50_multi_stream_FIFO,3,Q1,policy_2_always_defer,Always Defer,DEFER,12.26668548525991,21.653183125595103,6.268882572644338,0.0,0,7.9294469356536865,1,0
17,frag50_multi_stream_FIFO,3,Q1,policy_3_heuristic,Simple Resource Heuristic,DEFER,12.26668548525991,21.653183125595103,6.268882572644338,0.0,0,7.9294469356536865,1,0
17,frag50_multi_stream_FIFO,3,Q1,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),DEFER,12.26668548525991,21.653183125595103,6.268882572644338,0.0,0,7.9294469356536865,1,0
17,frag50_multi_stream_FIFO,3,Q1,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,12.26668548525991,21.653183125595103,6.268882572644338,0.0,0,7.9294469356536865,1,0
18,frag50_multi_stream_FIFO,3,Q3,policy_1_always_run,Always Run (Baseline),RUN,14.182243467280141,24.075786496221006,2.95336856232957,2.95336856232957,1,0.0,0,0
18,frag50_multi_stream_FIFO,3,Q3,policy_2_always_defer,Always Defer,DEFER,14.182243467280141,24.075786496221006,2.95336856232957,0.0,0,2.6624956130981445,1,0
18,frag50_multi_stream_FIFO,3,Q3,policy_3_heuristic,Simple Resource Heuristic,DEFER,14.182243467280141,24.075786496221006,2.95336856232957,0.0,0,2.6624956130981445,1,0
18,frag50_multi_stream_FIFO,3,Q3,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),DEFER,14.182243467280141,24.075786496221006,2.95336856232957,0.0,0,2.6624956130981445,1,0
18,frag50_multi_stream_FIFO,3,Q3,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,14.182243467280141,24.075786496221006,2.95336856232957,0.0,0,2.6624956130981445,1,0
19,frag50_multi_stream_FIFO,3,Q6,policy_1_always_run,Always Run (Baseline),RUN,13.111449772912513,21.212787967011916,33.40004421424533,33.40004421424533,1,0.0,0,1
19,frag50_multi_stream_FIFO,3,Q6,policy_2_always_defer,Always Defer,DEFER,13.111449772912513,21.212787967011916,33.40004421424533,0.0,0,1.7546699047088623,1,0
19,frag50_multi_stream_FIFO,3,Q6,policy_3_heuristic,Simple Resource Heuristic,DEFER,13.111449772912513,21.212787967011916,33.40004421424533,0.0,0,1.7546699047088623,1,0
19,frag50_multi_stream_FIFO,3,Q6,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),DEFER,13.111449772912513,21.212787967011916,33.40004421424533,0.0,0,1.7546699047088623,1,0
19,frag50_multi_stream_FIFO,3,Q6,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,13.111449772912513,21.212787967011916,33.40004421424533,0.0,0,1.7546699047088623,1,0
20,frag50_multi_stream_FIFO,3,Q12,policy_1_always_run,Always Run (Baseline),RUN,12.26668548525991,18.21429247906652,-3.696247658204614,-3.696247658204614,1,0.0,0,0
20,frag50_multi_stream_FIFO,3,Q12,policy_2_always_defer,Always Defer,DEFER,12.26668548525991,18.21429247906652,-3.696247658204614,0.0,0,2.2101714611053467,1,0
20,frag50_multi_stream_FIFO,3,Q12,policy_3_heuristic,Simple Resource Heuristic,DEFER,12.26668548525991,18.21429247906652,-3.696247658204614,0.0,0,2.2101714611053467,1,0
20,frag50_multi_stream_FIFO,3,Q12,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),DEFER,12.26668548525991,18.21429247906652,-3.696247658204614,0.0,0,2.2101714611053467,1,0
20,frag50_multi_stream_FIFO,3,Q12,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,12.26668548525991,18.21429247906652,-3.696247658204614,0.0,0,2.2101714611053467,1,0
21,frag50_multi_stream_FIFO,3,Q14,policy_1_always_run,Always Run (Baseline),RUN,12.26668548525991,22.083253334355945,7.880216859977803,7.880216859977803,1,0.0,0,0
21,frag50_multi_stream_FIFO,3,Q14,policy_2_always_defer,Always Defer,DEFER,12.26668548525991,22.083253334355945,7.880216859977803,0.0,0,1.8955631256103516,1,0
21,frag50_multi_stream_FIFO,3,Q14,policy_3_heuristic,Simple Resource Heuristic,DEFER,12.26668548525991,22.083253334355945,7.880216859977803,0.0,0,1.8955631256103516,1,0
21,frag50_multi_stream_FIFO,3,Q14,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),DEFER,12.26668548525991,22.083253334355945,7.880216859977803,0.0,0,1.8955631256103516,1,0
21,frag50_multi_stream_FIFO,3,Q14,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,12.26668548525991,22.083253334355945,7.880216859977803,0.0,0,1.8955631256103516,1,0
22,frag50_multi_stream_FIFO,3,Q18,policy_1_always_run,Always Run (Baseline),RUN,12.26668548525991,18.220183370237006,-0.16968237999253524,-0.16968237999253524,1,0.0,0,0
22,frag50_multi_stream_FIFO,3,Q18,policy_2_always_defer,Always Defer,DEFER,12.26668548525991,18.220183370237006,-0.16968237999253524,0.0,0,3.993680000305176,1,0
22,frag50_multi_stream_FIFO,3,Q18,policy_3_heuristic,Simple Resource Heuristic,DEFER,12.26668548525991,18.220183370237006,-0.16968237999253524,0.0,0,3.993680000305176,1,0
22,frag50_multi_stream_FIFO,3,Q18,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),DEFER,12.26668548525991,18.220183370237006,-0.16968237999253524,0.0,0,3.993680000305176,1,0
22,frag50_multi_stream_FIFO,3,Q18,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,12.26668548525991,18.220183370237006,-0.16968237999253524,0.0,0,3.993680000305176,1,0
23,frag50_multi_stream_FIFO,4,Q1,policy_1_always_run,Always Run (Baseline),RUN,12.26668548525991,14.992625404835545,8.12791051786454,8.12791051786454,1,0.0,0,0
23,frag50_multi_stream_FIFO,4,Q1,policy_2_always_defer,Always Defer,DEFER,12.26668548525991,14.992625404835545,8.12791051786454,0.0,0,7.9917449951171875,1,0
23,frag50_multi_stream_FIFO,4,Q1,policy_3_heuristic,Simple Resource Heuristic,DEFER,12.26668548525991,14.992625404835545,8.12791051786454,0.0,0,7.9917449951171875,1,0
23,frag50_multi_stream_FIFO,4,Q1,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),DEFER,12.26668548525991,14.992625404835545,8.12791051786454,0.0,0,7.9917449951171875,1,0
23,frag50_multi_stream_FIFO,4,Q1,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,12.26668548525991,14.992625404835545,8.12791051786454,0.0,0,7.9917449951171875,1,0
24,frag50_multi_stream_FIFO,4,Q3,policy_1_always_run,Always Run (Baseline),RUN,14.182243467280141,17.41447314739533,11.751515773838662,11.751515773838662,1,0.0,0,1
24,frag50_multi_stream_FIFO,4,Q3,policy_2_always_defer,Always Defer,DEFER,14.182243467280141,17.41447314739533,11.751515773838662,0.0,0,2.4960219860076904,1,0
24,frag50_multi_stream_FIFO,4,Q3,policy_3_heuristic,Simple Resource Heuristic,DEFER,14.182243467280141,17.41447314739533,11.751515773838662,0.0,0,2.4960219860076904,1,0
24,frag50_multi_stream_FIFO,4,Q3,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),DEFER,14.182243467280141,17.41447314739533,11.751515773838662,0.0,0,2.4960219860076904,1,0
24,frag50_multi_stream_FIFO,4,Q3,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,14.182243467280141,17.41447314739533,11.751515773838662,0.0,0,2.4960219860076904,1,0
