stage_id,task_id,launch_time,finish_time,duration_ms,executor_cpu_time_ms,jvm_gc_time_ms,deserialize_time_ms,serialize_time_ms,peak_memory_bytes,disk_spilled_bytes,memory_spilled_bytes
991,2155,1788185191012,1788185191473,461,418.074448,10,3,0,123490032,0,0
991,2161,1788185191012,1788185191507,495,424.853427,10,3,0,123490032,0,0
991,2152,1788185191012,1788185191510,498,414.412909,10,3,0,123490032,0,0
991,2159,1788185191012,1788185191516,504,428.262822,10,3,0,123490032,0,0
991,2164,1788185191219,1788185191519,300,236.521527,10,4,0,100421376,0,0
991,2162,1788185191012,1788185191523,511,431.847902,10,3,0,123490032,0,0
991,2154,1788185191012,1788185191524,512,421.659915,10,3,0,123490032,0,0
991,2163,1788185191012,1788185191526,514,436.177124,10,3,0,123490032,0,0
991,2151,1788185191012,1788185191526,514,422.881653,10,3,0,123490032,0,0
991,2158,1788185191012,1788185191530,518,422.264125,10,3,0,123490032,0,0
991,2160,1788185191012,1788185191531,519,424.080305,10,4,0,123490032,0,0
991,2153,1788185191012,1788185191532,520,428.481252,10,2,0,123490032,0,0
991,2148,1788185191011,1788185191550,539,387.738484,10,5,0,123490032,0,0
992,2166,1788185197873,1788185198672,799,783.408808,7,1,0,0,0,0
992,2165,1788185197872,1788185203423,5551,5478.302095,12,1,0,0,0,0
994,2168,1788185203430,1788185204959,1529,901.145942,85,1,0,0,0,0
994,2172,1788185203430,1788185204963,1533,900.658461,85,0,0,0,0,0
994,2180,1788185203430,1788185205033,1603,893.416127,85,0,0,0,0,0
994,2174,1788185203430,1788185205146,1716,969.96334,85,0,0,0,0,0
994,2170,1788185203430,1788185205166,1736,960.67498,85,1,0,0,0,0
994,2167,1788185203430,1788185205198,1768,952.015715,85,0,0,0,0,0
994,2178,1788185203430,1788185205206,1776,971.503132,85,0,0,0,0,0
994,2171,1788185203430,1788185205221,1791,966.297032,85,1,0,0,0,0
994,2177,1788185203430,1788185205239,1809,1018.40466,85,1,0,0,0,0
994,2181,1788185203430,1788185205306,1876,1028.228001,85,0,0,0,0,0
994,2173,1788185203430,1788185205310,1880,1047.725383,85,1,0,0,0,0
994,2182,1788185203430,1788185205341,1911,1033.019934,85,0,0,0,0,0
994,2175,1788185203430,1788185205349,1919,1039.671437,85,0,0,0,0,0
994,2179,1788185203430,1788185205353,1923,1043.360513,85,0,0,0,0,0
994,2176,1788185203430,1788185205365,1935,1052.277093,85,0,0,0,0,0
994,2169,1788185203430,1788185205381,1951,1037.575124,85,0,0,0,0,0
994,2184,1788185204963,1788185205670,707,417.977027,0,0,0,0,0,0
994,2183,1788185204959,1788185205757,798,551.013564,0,0,0,0,0,0
995,2186,1788185207152,1788185208331,1179,1114.856941,35,1,0,8650736,0,0
995,2185,1788185207152,1788185213128,5976,5848.626541,56,1,0,8650736,0,0
997,2187,1788185213157,1788185213162,5,2.619954,0,1,0,8650736,0,0
999,2188,1788185213165,1788185213171,6,3.060942,0,1,0,8650736,0,0
1002,2189,1788185213183,1788185213187,4,1.242751,0,1,0,8454128,0,0
1004,2192,1788185214489,1788185214512,23,14.317799,0,0,0,0,0,0
1003,2191,1788185214487,1788185214656,169,161.979061,0,1,0,0,0,0
1005,2193,1788185214530,1788185214703,173,152.531533,0,1,0,2097152,0,0
