config_id,frag_files,workload_type,scheduler_mode,repetition,run_type,query,client_start_time,client_end_time,duration_ms
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,baseline,Q3,1788183391.7905464,1788183394.2031329,2412.586450576782
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,baseline,Q6,1788183394.203858,1788183396.208018,2004.1601657867432
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,baseline,Q12,1788183396.2087564,1788183398.2213607,2012.6042366027832
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,baseline,Q14,1788183398.2221048,1788183400.2200227,1997.917890548706
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,baseline,Q18,1788183400.2217069,1788183404.1366472,3914.940357208252
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,concurrent,Q1,1788183420.646643,1788183428.7650928,8118.449926376343
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,concurrent,Q3,1788183428.7676215,1788183431.389359,2621.737480163574
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,concurrent,Q6,1788183431.3916533,1788183433.7007186,2309.065341949463
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,concurrent,Q12,1788183433.7014575,1788183435.6816423,1980.18479347229
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,concurrent,Q14,1788183435.6822486,1788183437.5746212,1892.3726081848145
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,concurrent,Q18,1788183437.5752141,1788183441.5426285,3967.414379119873
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,concurrent,Q1,1788183458.118118,1788183465.9668183,7848.700284957886
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,concurrent,Q3,1788183465.9734216,1788183468.739199,2765.777349472046
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,concurrent,Q6,1788183468.7399392,1788183470.6966846,1956.7453861236572
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,concurrent,Q12,1788183470.69752,1788183472.8519132,2154.393196105957
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,concurrent,Q14,1788183472.852464,1788183474.6846666,1832.202672958374
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,concurrent,Q18,1788183474.6853952,1788183478.6674423,3982.0470809936523
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,baseline,Q1,1788183494.0219464,1788183501.619703,7597.756624221802
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,baseline,Q3,1788183501.6221037,1788183504.098781,2476.677417755127
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,baseline,Q6,1788183504.099493,1788183506.0413196,1941.826581954956
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,baseline,Q12,1788183506.042046,1788183508.019089,1977.0429134368896
