scheduler_mode,repetition,run_type,query,job_id,spark_start_time,spark_end_time,spark_duration_ms,compaction_start_time,compaction_end_time,overlap_ms,overlap_pct,num_tasks,sum_task_duration_ms,avg_task_duration_ms
FAIR,17,concurrent,Q1,907,1788180165944,1788180165997,53,1788180159582,1788180179061,53,1.0000,1,51,51.00
FAIR,17,concurrent,Q1,908,1788180166077,1788180166385,308,1788180159582,1788180179061,308,1.0000,1,305,305.00
FAIR,17,concurrent,Q3,909,1788180166398,1788180166447,49,1788180159582,1788180179061,49,1.0000,1,47,47.00
FAIR,17,concurrent,Q3,910,1788180166517,1788180166640,123,1788180159582,1788180179061,123,1.0000,17,1252,73.65
FAIR,17,concurrent,Q3,911,1788180168492,1788180168777,285,1788180159582,1788180179061,285,1.0000,7,1712,244.57
FAIR,17,concurrent,Q6,912,1788180168784,1788180168788,4,1788180159582,1788180179061,4,1.0000,1,2,2.00
FAIR,17,concurrent,Q6,913,1788180170396,1788180170934,538,1788180159582,1788180179061,538,1.0000,1,535,535.00
FAIR,17,concurrent,Q6,914,1788180170401,1788180170739,338,1788180159582,1788180179061,338,1.0000,7,2028,289.71
FAIR,17,concurrent,Q6,915,1788180170749,1788180170763,14,1788180159582,1788180179061,14,1.0000,1,12,12.00
FAIR,17,concurrent,Q12,916,1788180170950,1788180171004,54,1788180159582,1788180179061,54,1.0000,14,568,40.57
FAIR,17,concurrent,Q12,917,1788180171019,1788180171025,6,1788180159582,1788180179061,6,1.0000,1,4,4.00
FAIR,17,concurrent,Q12,918,1788180171026,1788180171033,7,1788180159582,1788180179061,7,1.0000,1,5,5.00
FAIR,17,concurrent,Q12,919,1788180171044,1788180171050,6,1788180159582,1788180179061,6,1.0000,1,3,3.00
FAIR,17,concurrent,Q12,920,1788180172592,1788180172666,74,1788180159582,1788180179061,74,1.0000,1,72,72.00
FAIR,17,concurrent,Q12,921,1788180172729,1788180173033,304,1788180159582,1788180179061,304,1.0000,7,1841,263.00
FAIR,17,concurrent,Q12,922,1788180173041,1788180173055,14,1788180159582,1788180179061,14,1.0000,1,2,2.00
FAIR,17,concurrent,Q14,923,1788180175072,1788180176395,1323,1788180159582,1788180179061,1323,1.0000,1,1320,1320.00
FAIR,17,concurrent,Q14,924,1788180175075,1788180175249,174,1788180159582,1788180179061,174,1.0000,1,171,171.00
FAIR,17,concurrent,Q14,925,1788180175082,1788180176803,1721,1788180159582,1788180179061,1721,1.0000,7,10743,1534.71
FAIR,17,concurrent,Q14,926,1788180175085,1788180176186,1101,1788180159582,1788180179061,1101,1.0000,7,6658,951.14
FAIR,17,concurrent,Q18,927,1788180176906,1788180178360,1454,1788180159582,1788180179061,1454,1.0000,17,18152,1067.76
FAIR,17,baseline,Q1,928,1788180208627,1788180211391,2764,,,0.0,0.0000,7,17079,2439.86
FAIR,17,baseline,Q1,929,1788180211419,1788180211433,14,,,0.0,0.0000,1,6,6.00
FAIR,17,baseline,Q1,930,1788180211434,1788180211445,11,,,0.0,0.0000,1,7,7.00
FAIR,17,baseline,Q1,931,1788180211458,1788180211464,6,,,0.0,0.0000,1,4,4.00
FAIR,17,baseline,Q1,932,1788180212969,1788180213402,433,,,0.0,0.0000,7,2641,377.29
FAIR,17,baseline,Q1,933,1788180212973,1788180213022,49,,,0.0,0.0000,1,47,47.00
FAIR,17,baseline,Q1,934,1788180213048,1788180213338,290,,,0.0,0.0000,1,288,288.00
FAIR,17,baseline,Q1,935,1788180213351,1788180213392,41,,,0.0,0.0000,1,39,39.00
FAIR,17,baseline,Q1,936,1788180213464,1788180213557,93,,,0.0,0.0000,17,1110,65.29
FAIR,17,baseline,Q3,937,1788180214985,1788180215242,257,,,0.0,0.0000,7,1545,220.71
FAIR,17,baseline,Q3,938,1788180215249,1788180215253,4,,,0.0,0.0000,1,2,2.00
FAIR,17,baseline,Q6,939,1788180216938,1788180217454,516,,,0.0,0.0000,1,513,513.00
FAIR,17,baseline,Q6,940,1788180216942,1788180217269,327,,,0.0,0.0000,7,2006,286.57
FAIR,17,baseline,Q6,941,1788180217280,1788180217295,15,,,0.0,0.0000,1,12,12.00
FAIR,17,baseline,Q12,942,1788180217472,1788180217510,38,,,0.0,0.0000,14,462,33.00
FAIR,17,baseline,Q12,943,1788180217523,1788180217529,6,,,0.0,0.0000,1,4,4.00
FAIR,17,baseline,Q12,944,1788180217530,1788180217537,7,,,0.0,0.0000,1,4,4.00
FAIR,17,baseline,Q12,945,1788180217551,1788180217556,5,,,0.0,0.0000,1,3,3.00
FAIR,17,baseline,Q12,946,1788180218989,1788180219048,59,,,0.0,0.0000,1,58,58.00
FAIR,17,baseline,Q12,947,1788180219189,1788180219416,227,,,0.0,0.0000,7,1368,195.43
FAIR,17,baseline,Q12,948,1788180219423,1788180219427,4,,,0.0,0.0000,1,2,2.00
FAIR,17,baseline,Q14,949,1788180220910,1788180222154,1244,,,0.0,0.0000,1,1241,1241.00
FAIR,17,baseline,Q14,950,1788180220921,1788180221103,182,,,0.0,0.0000,1,179,179.00
FAIR,17,baseline,Q14,951,1788180220923,1788180222683,1760,,,0.0,0.0000,7,11021,1574.43
FAIR,17,baseline,Q14,952,1788180220925,1788180221987,1062,,,0.0,0.0000,7,6619,945.57
FAIR,17,baseline,Q18,953,1788180222730,1788180224071,1341,,,0.0,0.0000,17,20080,1181.18
FAIR,18,baseline,Q1,954,1788180252331,1788180254770,2439,,,0.0,0.0000,7,14892,2127.43
FAIR,18,baseline,Q1,955,1788180254793,1788180254806,13,,,0.0,0.0000,1,6,6.00
FAIR,18,baseline,Q1,956,1788180254807,1788180254817,10,,,0.0,0.0000,1,7,7.00
FAIR,18,baseline,Q1,957,1788180254827,1788180254834,7,,,0.0,0.0000,1,3,3.00
FAIR,18,baseline,Q1,958,1788180256527,1788180256940,413,,,0.0,0.0000,7,2544,363.43
FAIR,18,baseline,Q1,959,1788180256530,1788180256572,42,,,0.0,0.0000,1,40,40.00
FAIR,18,baseline,Q1,960,1788180256595,1788180256830,235,,,0.0,0.0000,1,232,232.00
FAIR,18,baseline,Q1,961,1788180256841,1788180256878,37,,,0.0,0.0000,1,35,35.00
FAIR,18,baseline,Q3,962,1788180256959,1788180257051,92,,,0.0,0.0000,17,1059,62.29
FAIR,18,baseline,Q3,963,1788180258398,1788180258653,255,,,0.0,0.0000,7,1534,219.14
FAIR,18,baseline,Q3,964,1788180258660,1788180258670,10,,,0.0,0.0000,1,2,2.00
FAIR,18,baseline,Q6,965,1788180260056,1788180260518,462,,,0.0,0.0000,1,459,459.00
FAIR,18,baseline,Q6,966,1788180260060,1788180260342,282,,,0.0,0.0000,7,1729,247.00
FAIR,18,baseline,Q6,967,1788180260350,1788180260363,13,,,0.0,0.0000,1,11,11.00
FAIR,18,baseline,Q6,968,1788180260542,1788180260592,50,,,0.0,0.0000,14,569,40.64
FAIR,18,baseline,Q6,969,1788180260609,1788180260615,6,,,0.0,0.0000,1,4,4.00
FAIR,18,baseline,Q6,970,1788180260616,1788180260623,7,,,0.0,0.0000,1,5,5.00
FAIR,18,baseline,Q6,971,1788180260635,1788180260640,5,,,0.0,0.0000,1,3,3.00
FAIR,18,baseline,Q12,972,1788180262164,1788180262218,54,,,0.0,0.0000,1,53,53.00
FAIR,18,baseline,Q12,973,1788180262277,1788180262509,232,,,0.0,0.0000,7,1385,197.86
FAIR,18,baseline,Q12,974,1788180262516,1788180262525,9,,,0.0,0.0000,1,2,2.00
FAIR,18,baseline,Q14,975,1788180263946,1788180265109,1163,,,0.0,0.0000,1,1160,1160.00
FAIR,18,baseline,Q14,976,1788180263949,1788180264063,114,,,0.0,0.0000,1,110,110.00
FAIR,18,baseline,Q14,977,1788180263952,1788180265451,1499,,,0.0,0.0000,7,9315,1330.71
FAIR,18,baseline,Q14,978,1788180263955,1788180264891,936,,,0.0,0.0000,7,5554,793.43
FAIR,18,baseline,Q18,979,1788180265491,1788180266700,1209,,,0.0,0.0000,17,18197,1070.41
FAIR,18,concurrent,compaction,980,1788180294310,1788180312861,18551,1788180294310,1788180312861,18551,1.0000,1,18550,18550.00
FAIR,18,concurrent,Q1,981,1788180296051,1788180299051,3000,1788180294310,1788180312861,3000,1.0000,7,18540,2648.57
FAIR,18,concurrent,Q1,982,1788180299087,1788180299097,10,1788180294310,1788180312861,10,1.0000,1,6,6.00
FAIR,18,concurrent,Q1,983,1788180299098,1788180299108,10,1788180294310,1788180312861,10,1.0000,1,6,6.00
FAIR,18,concurrent,Q1,984,1788180299120,1788180299129,9,1788180294310,1788180312861,9,1.0000,1,6,6.00
FAIR,18,concurrent,Q1,985,1788180300619,1788180301114,495,1788180294310,1788180312861,495,1.0000,7,3107,443.86
FAIR,18,concurrent,Q1,986,1788180300623,1788180300674,51,1788180294310,1788180312861,51,1.0000,1,48,48.00
FAIR,18,concurrent,Q1,987,1788180300698,1788180301021,323,1788180294310,1788180312861,323,1.0000,1,320,320.00
FAIR,18,concurrent,Q1,988,1788180301033,1788180301078,45,1788180294310,1788180312861,45,1.0000,1,42,42.00
FAIR,18,concurrent,Q1,989,1788180301150,1788180301246,96,1788180294310,1788180312861,96,1.0000,17,1087,63.94
FAIR,18,concurrent,Q3,990,1788180302778,1788180303045,267,1788180294310,1788180312861,267,1.0000,7,1583,226.14
FAIR,18,concurrent,Q3,991,1788180303052,1788180303056,4,1788180294310,1788180312861,4,1.0000,1,2,2.00
FAIR,18,concurrent,Q6,992,1788180304866,1788180305441,575,1788180294310,1788180312861,575,1.0000,1,573,573.00
FAIR,18,concurrent,Q6,993,1788180304870,1788180305275,405,1788180294310,1788180312861,405,1.0000,7,2521,360.14
FAIR,18,concurrent,Q12,994,1788180305289,1788180305308,19,1788180294310,1788180312861,19,1.0000,1,17,17.00
FAIR,18,concurrent,Q12,995,1788180305456,1788180305499,43,1788180294310,1788180312861,43,1.0000,14,513,36.64
FAIR,18,concurrent,Q12,996,1788180305512,1788180305518,6,1788180294310,1788180312861,6,1.0000,1,4,4.00
FAIR,18,concurrent,Q12,997,1788180305519,1788180305527,8,1788180294310,1788180312861,8,1.0000,1,5,5.00
FAIR,18,concurrent,Q12,998,1788180305539,1788180305545,6,1788180294310,1788180312861,6,1.0000,1,4,4.00
FAIR,18,concurrent,Q12,999,1788180307022,1788180307086,64,1788180294310,1788180312861,64,1.0000,1,63,63.00
FAIR,18,concurrent,Q12,1000,1788180307154,1788180307450,296,1788180294310,1788180312861,296,1.0000,7,1829,261.29
FAIR,18,concurrent,Q12,1001,1788180307459,1788180307463,4,1788180294310,1788180312861,4,1.0000,1,1,1.00
FAIR,18,concurrent,Q14,1002,1788180309357,1788180310573,1216,1788180294310,1788180312861,1216,1.0000,1,1213,1213.00
FAIR,18,concurrent,Q14,1003,1788180309366,1788180309495,129,1788180294310,1788180312861,129,1.0000,1,124,124.00
FAIR,18,concurrent,Q14,1004,1788180309370,1788180311052,1682,1788180294310,1788180312861,1682,1.0000,7,10253,1464.71
FAIR,18,concurrent,Q14,1005,1788180309374,1788180310339,965,1788180294310,1788180312861,965,1.0000,7,5945,849.29
FAIR,18,concurrent,Q18,1006,1788180311094,1788180312410,1316,1788180294310,1788180312861,1316,1.0000,17,16645,979.12
FAIR,19,concurrent,compaction,1007,1788180340642,1788180358775,18133,1788180340642,1788180358775,18133,1.0000,1,18132,18132.00
FAIR,19,concurrent,Q1,1008,1788180342314,1788180345122,2808,1788180340642,1788180358775,2808,1.0000,7,16934,2419.14
FAIR,19,concurrent,Q1,1009,1788180345148,1788180345155,7,1788180340642,1788180358775,7,1.0000,1,5,5.00
FAIR,19,concurrent,Q1,1010,1788180345156,1788180345164,8,1788180340642,1788180358775,8,1.0000,1,5,5.00
FAIR,19,concurrent,Q1,1011,1788180345173,1788180345179,6,1788180340642,1788180358775,6,1.0000,1,4,4.00
FAIR,19,concurrent,Q1,1012,1788180346685,1788180347252,567,1788180340642,1788180358775,567,1.0000,7,3397,485.29
FAIR,19,concurrent,Q1,1013,1788180346689,1788180346738,49,1788180340642,1788180358775,49,1.0000,1,47,47.00
FAIR,19,concurrent,Q1,1014,1788180346761,1788180347125,364,1788180340642,1788180358775,364,1.0000,1,361,361.00
FAIR,19,concurrent,Q1,1015,1788180347138,1788180347180,42,1788180340642,1788180358775,42,1.0000,1,40,40.00
FAIR,19,concurrent,Q3,1016,1788180347285,1788180347373,88,1788180340642,1788180358775,88,1.0000,17,1014,59.65
FAIR,19,concurrent,Q3,1017,1788180348817,1788180349122,305,1788180340642,1788180358775,305,1.0000,7,1871,267.29
FAIR,19,concurrent,Q3,1018,1788180349132,1788180349136,4,1788180340642,1788180358775,4,1.0000,1,2,2.00
FAIR,19,concurrent,Q6,1019,1788180350887,1788180351499,612,1788180340642,1788180358775,612,1.0000,1,610,610.00
FAIR,19,concurrent,Q6,1020,1788180350891,1788180351272,381,1788180340642,1788180358775,381,1.0000,7,2266,323.71
