chronological_index,repetition_cycle,repetition_type,phase_index,phase_position,state,query,statement_id,status,duration_seconds
252,14,MEASURED,42,0,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.622347
253,14,MEASURED,42,0,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.647767
254,14,MEASURED,42,0,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.277146
255,14,MEASURED,42,0,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.674872
256,14,MEASURED,42,0,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.419374
257,14,MEASURED,42,0,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.733919
258,14,MEASURED,43,1,control,Q1,query1_control.sql_0,SUCCESS,6.792616
259,14,MEASURED,43,1,control,Q3,query3_control.sql_0,SUCCESS,1.09821
260,14,MEASURED,43,1,control,Q6,query6_control.sql_0,SUCCESS,0.373207
261,14,MEASURED,43,1,control,Q12,query12_control.sql_0,SUCCESS,0.66259
262,14,MEASURED,43,1,control,Q14,query14_control.sql_0,SUCCESS,0.487847
263,14,MEASURED,43,1,control,Q18,query18_control.sql_0,SUCCESS,2.457435
264,14,MEASURED,44,2,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.292463
265,14,MEASURED,44,2,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.910557
266,14,MEASURED,44,2,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.294912
267,14,MEASURED,44,2,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.560397
268,14,MEASURED,44,2,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.405515
269,14,MEASURED,44,2,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.254473
270,15,MEASURED,45,0,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.716498
271,15,MEASURED,45,0,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.607291
272,15,MEASURED,45,0,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.27551
273,15,MEASURED,45,0,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.61966
274,15,MEASURED,45,0,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.386496
275,15,MEASURED,45,0,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.720943
276,15,MEASURED,46,1,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.062541
277,15,MEASURED,46,1,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.880435
278,15,MEASURED,46,1,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.28832
279,15,MEASURED,46,1,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.522855
